#{"t_start": 1776950359.511148, "env_id": "HalfCheetah-v5"}
r,l,t
2645.060907,1000,131.264598
2572.142933,1000,131.372622
2757.775008,1000,131.714499
2779.826288,1000,131.821413
2583.619022,1000,132.158152
2489.52561,1000,132.265535
2512.314196,1000,132.598404
2181.536539,1000,132.705706
2476.675025,1000,133.038353
2211.694193,1000,133.144425
2466.40263,1000,133.478775
2411.319796,1000,133.588898
2539.239868,1000,133.942778
2459.449958,1000,134.05403
2314.862833,1000,134.429043
2518.321446,1000,134.540079
2499.327975,1000,134.890464
2689.463843,1000,135.002316
2468.933805,1000,135.353965
2576.998833,1000,135.466222
2446.718113,1000,135.818223
2417.520064,1000,135.930416
2497.212183,1000,136.28384
2587.722184,1000,136.394801
2252.15848,1000,136.744693
2647.471481,1000,136.853057
2609.435406,1000,137.201584
2482.158578,1000,137.31401
2545.909481,1000,137.655325
2491.904234,1000,137.762977
2643.459469,1000,138.096627
2702.817329,1000,138.203066
2468.975038,1000,138.534375
2640.950611,1000,138.640877
2797.113801,1000,138.982357
2720.422094,1000,139.087986
2696.178824,1000,139.43494
2830.111872,1000,139.543016
2804.443403,1000,139.920927
2750.565698,1000,140.03209
2899.427971,1000,140.378523
2829.558234,1000,140.485719
2674.392799,1000,140.839003
2836.923609,1000,140.949443
2476.378625,1000,141.056551
2857.896069,1000,141.394617
2605.606041,1000,141.506333
2932.35033,1000,141.844112
2725.916992,1000,141.955908
2871.47861,1000,142.29563
2493.191747,1000,142.404274
2756.477943,1000,142.752125
2975.46721,1000,142.860341
2804.031244,1000,143.200431
2460.031742,1000,143.31287
2731.113825,1000,143.652813
2626.911011,1000,143.758956
2819.675132,1000,144.090623
2849.74898,1000,144.1983
2735.520067,1000,144.538425
2833.984397,1000,144.652174
2665.23175,1000,144.997297
2829.346616,1000,145.108706
2869.729962,1000,145.454667
2713.36028,1000,145.561852
2902.676404,1000,145.908162
2908.095116,1000,146.018433
2882.617595,1000,146.368597
2684.095852,1000,146.477
2983.231325,1000,146.852184
2714.333891,1000,146.963474
2608.619656,1000,147.313307
2611.657765,1000,147.425694
3034.988938,1000,147.772378
3034.161788,1000,147.883384
2497.673529,1000,148.220464
2709.83683,1000,148.332699
2853.48848,1000,148.673377
2759.121653,1000,148.781343
2821.845171,1000,149.128402
2691.298423,1000,149.236412
2736.133639,1000,149.573319
2806.127652,1000,149.682826
2813.132957,1000,150.02222
2808.435682,1000,150.129974
3002.191863,1000,150.47007
2728.738769,1000,150.578902
2935.02322,1000,150.720862
2756.906375,1000,151.066287
2615.30988,1000,151.176606
2640.93839,1000,151.530595
2713.441276,1000,151.642567
2928.734421,1000,151.992959
2902.830757,1000,152.104945
3049.193365,1000,152.454259
2913.534451,1000,152.564731
2908.087534,1000,152.911508
3032.252137,1000,153.018452
2739.261369,1000,153.359509
2895.90373,1000,153.467327
2597.228771,1000,153.826313
2909.4456,1000,153.936942
2935.845899,1000,154.277481
2922.141423,1000,154.384265
2558.384502,1000,154.716564
2670.919557,1000,154.822461
2681.702481,1000,155.155354
3015.61649,1000,155.261424
2488.168569,1000,155.591723
2811.987889,1000,155.697807
2954.177956,1000,156.028462
2984.010265,1000,156.134527
3095.258971,1000,156.465143
2704.53515,1000,156.570867
2987.410483,1000,156.901709
2450.493977,1000,157.011047
2877.360672,1000,157.352336
2741.11353,1000,157.459241
2939.623893,1000,157.797029
2631.91482,1000,157.905689
3141.889596,1000,158.258171
2850.213386,1000,158.367693
2815.341267,1000,158.709554
3226.348864,1000,158.816734
2760.05501,1000,159.152652
3106.332394,1000,159.259065
2729.339566,1000,159.619962
2786.28249,1000,159.727216
2739.408995,1000,160.060918
2820.629479,1000,160.16861
2865.342604,1000,160.276941
3238.080135,1000,160.613177
3073.906928,1000,160.719764
2905.621974,1000,161.055354
3264.111064,1000,161.161525
3012.096668,1000,161.497907
3054.624671,1000,161.605463
2837.88352,1000,161.941313
2994.996399,1000,162.047794
2843.636212,1000,162.382434
3049.191084,1000,162.488171
2797.877513,1000,162.822724
3144.490027,1000,162.929129
3141.794035,1000,163.263371
3022.696839,1000,163.369835
3195.137256,1000,163.704947
2876.859716,1000,163.811831
3016.775206,1000,164.147438
3362.566506,1000,164.254645
2996.021768,1000,164.589382
3106.271042,1000,164.695319
3154.150303,1000,165.029473
2981.262607,1000,165.136814
3173.771258,1000,165.47334
3370.208097,1000,165.580464
3320.717709,1000,165.915523
2988.379966,1000,166.021475
3293.583674,1000,166.355344
3335.215425,1000,166.462675
3315.690189,1000,166.798849
3153.700227,1000,166.906355
3286.611476,1000,167.242816
2764.466978,1000,167.349206
3026.268062,1000,167.685328
3060.74377,1000,167.79324
3002.411591,1000,168.130533
3178.845736,1000,168.237332
3340.938644,1000,168.572577
3159.950442,1000,168.679653
3079.234561,1000,169.014075
3290.005921,1000,169.122396
3268.121589,1000,169.228807
3252.131123,1000,169.56661
3025.08794,1000,169.673513
3261.971344,1000,170.009315
3297.098133,1000,170.115595
3338.543785,1000,170.454599
3023.977646,1000,170.560889
3369.671866,1000,170.896744
2990.531974,1000,171.003253
3141.084977,1000,171.338934
3229.417953,1000,171.445758
3472.088423,1000,171.781611
3266.486554,1000,171.888817
3260.907606,1000,172.224823
3190.342023,1000,172.332025
3495.383147,1000,172.666466
3354.122791,1000,172.772563
3457.86317,1000,173.107668
3412.453877,1000,173.213108
3383.026987,1000,173.548796
3188.92008,1000,173.654598
3213.767445,1000,173.990566
3376.516426,1000,174.097123
3404.982015,1000,174.432761
3091.487976,1000,174.539832
3246.193954,1000,174.876222
3264.432469,1000,174.982877
3166.38277,1000,175.318625
3397.791522,1000,175.425047
3375.006466,1000,175.760317
3327.636459,1000,175.866466
3389.553539,1000,176.201524
3081.025417,1000,176.309063
3080.246266,1000,176.643567
3298.020086,1000,176.750005
3447.160102,1000,177.08531
2797.046344,1000,177.19285
3364.519084,1000,177.528607
3127.40049,1000,177.635461
3255.944998,1000,177.970717
3245.27619,1000,178.077268
3423.895712,1000,178.412946
2892.257031,1000,178.521462
3322.094268,1000,178.629199
3325.350608,1000,178.966295
3457.352367,1000,179.073159
3214.091823,1000,179.408348
3273.249437,1000,179.51475
3618.192079,1000,179.850013
3327.145093,1000,179.956449
3166.462861,1000,180.294313
3219.270132,1000,180.401014
3308.822508,1000,180.738447
3163.689639,1000,180.846421
3367.112969,1000,181.182839
3100.363637,1000,181.289491
3146.925527,1000,181.626655
3398.612833,1000,181.7332
3611.644452,1000,182.068325
3368.841459,1000,182.175889
3411.834134,1000,182.512067
3351.771938,1000,182.620308
3254.265149,1000,182.956917
3351.095606,1000,183.063394
3715.83125,1000,183.399151
3421.517591,1000,183.50627
3333.888525,1000,183.842974
3125.405714,1000,183.949778
